gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,41,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Electronic check,111.89,8468.2,0
Female,1,Yes,Yes,72,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,112.1,2181.57,0
Male,0,Yes,Yes,64,Yes,No,Fiber optic,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,98.0,5120.07,0
Male,1,No,Yes,33,No,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),18.8,1368.26,0
Male,0,No,No,47,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),97.13,4825.74,0
Female,0,No,No,1,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.51,1460.86,1
Female,0,No,No,45,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,68.91,1274.07,0
Female,0,Yes,No,52,No,No,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,35.42,1608.59,0
Male,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Two year,No,Electronic check,90.4,1448.69,0
Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,18.8,835.88,0
Female,0,No,No,50,No,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),29.12,1046.15,1
Female,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,74.98,1198.8,0
Male,0,No,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,71.78,19.4,0
