gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),75.2,1804.8,yes
Female,1,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),85.75,2058.0,no
Male,1,No,Yes,30,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,89.5,2685.0,no
Female,1,Yes,Yes,24,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,75.5,1802.3,no
Male,0,Yes,No,24,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),75.7,1821.8,no
Female,0,No,No,22,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),76.1,1674.2,no
Male,1,No,Yes,24,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,1807.2,yes
Female,1,No,No,15,No,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.2,1323.0,yes
Female,1,Yes,Yes,24,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),59.95,1438.8,no
Female,0,Yes,Yes,45,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),89.5,3927.5,no
Male,1,Yes,No,24,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),75.5,1812.0,no
Male,1,No,Yes,24,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),88.7,2112.8,yes
Male,1,Yes,Yes,12,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,89.5,1074.0,yes
Female,0,Yes,Yes,16,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),75.5,1208.0,no
Male,1,No,No,5,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,75.3,376.5,no
Male,1,Yes,No,15,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.3,1129.5,no
Male,1,No,No,24,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),75.25,1805.0,yes
Male,1,No,No,24,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,79.2,1900.8,yes
Male,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.5,4972.15,no
Male,1,Yes,No,12,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),95.5,1146.0,no
Male,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.5,4179.4,No
Female,1,No,No,72,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,89.1,6400.2,no
Female,1,Yes,Yes,12,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.65,1075.8,yes
Male,1,No,No,12,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),55.2,662.4,no
Male,1,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,104.75,5853.4,yes
Female,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),99.75,4788.0,no
Male,1,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),95.8,2299.2,yes
Female,1,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),99.75,2394.0,no
Female,1,No,Yes,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.5,2148.0,yes
Male,1,No,Yes,24,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,2303.4,yes
Male,1,Yes,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),75.5,1812.0,no
Female,1,Yes,No,5,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,75.9,379.5,yes
Male,1,No,Yes,25,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.75,2393.75,no
Female,0,No,No,15,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.9,1198.5,yes
Male,1,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,95.5,2293.75,yes
Female,1,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),100.25,2406.0,no
Female,1,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),99.85,4793.2,no
Male,1,No,Yes,12,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),65.95,791.4,no
Female,1,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.3,873.0,yes
Male,1,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),85.5,2052.0,no
Male,1,No,Yes,24,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),89.75,2145.2,yes
Female,1,Yes,Yes,45,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.6,3327.0,no
Male,1,Yes,Yes,24,No,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),55.5,1332.0,no
Female,1,No,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),89.1,1960.2,no
Female,1,Yes,Yes,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),89.65,3228.45,no
Female,1,Yes,Yes,72,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),75.4,5409.8,no
Male,0,Yes,Yes,42,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),78.5,3206.6,no
Male,1,No,Yes,45,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),95.5,4304.5,no
Female,1,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),95.65,478.25,yes
Male,1,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card,95.3,1143.6,yes
Female,1,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),89.65,3227.4,no
Male,1,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),95.15,2283.6,yes
Male,1,No,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),95.75,1149.0,no
Female,1,No,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),95.6,4298.0,no
Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.7,1076.4,yes
Female,1,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),75.5,1700.4,yes
Male,1,Yes,Yes,48,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),74.5,3589.2,no
Female,1,Yes,No,24,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,85.5,2052.0,no
Female,1,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,89.85,1078.2,yes
Male,1,No,No,12,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),65.2,764.4,yes
Male,1,Yes,Yes,22,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),76.35,1680.2,no
Male,1,No,Yes,12,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,75.5,906.0,no
Male,1,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.5,1719.0,yes
Male,1,Yes,Yes,42,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),88.15,3758.3,yes
Female,1,Yes,No,12,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.75,705.0,yes
Female,1,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),95.5,3420.0,no
Female,1,No,Yes,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),99.9,4795.2,no
Male,1,No,No,24,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.75,2154.0,yes
Male,1,No,Yes,24,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.9,1917.6,yes
Male,1,No,Yes,24,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),65.8,1580.2,no
Female,1,Yes,Yes,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),75.35,1808.4,no
Female,0,No,No,24,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),92.5,2220.0,yes
Female,0,No,Yes,24,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),72.5,1734.0,no
Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),89.5,2100.2,no
Female,1,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,75.75,1818.0,no
Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),85.75,1029.0,no
Male,1,Yes,Yes,25,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),75.5,1890.5,no
Female,1,No,Yes,24,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),85.45,2043.8,no
Female,0,No,Yes,24,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),84.3,2016.4,no
Female,1,No,Yes,45,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),89.75,4038.75,no
Male,0,Yes,No,12,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),65.5,786.0,no
Male,1,No,Yes,45,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),91.5,4107.5,no
Male,1,Yes,No,5,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.7,488.5,no
Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),89.95,2145.8,no
Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.65,1479.75,no
Female,1,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,85.3,2047.2,yes
Female,1,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),105.5,4725.75,no
Male,1,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.85,2396.4,no
